data, bandwidth
feedback|2 1|1|1|1|1681469240.9676635|                                                                                          ,289730.6594711279
feedback|2 1|1|1|1|1681469240.9676635|                                                                                          ,412660.19369715604
ask|2 1|DEPOSIT p 17|1|1|1681469240.968058|                                                                                     ,162491.196125908
ask|2 1|DEPOSIT p 17|1|1|1681469240.968058|                                                                                     ,120862.42953624493
ask|1 1|DEPOSIT s 82|1|1|1681469240.967981|                                                                                     ,69759.73388773389
ask|1 1|DEPOSIT s 82|1|1|1681469240.967981|                                                                                     ,72964.2446316934
feedback|3 1|2|1|1|1681469240.9677906|                                                                                          ,44009.41978850726
feedback|3 1|2|1|1|1681469240.9677906|                                                                                          ,43869.17077953914
ask|3 1|DEPOSIT p 10|1|1|1681469240.9684992|                                                                                    ,36400.49576242457
ask|3 1|DEPOSIT p 10|1|1|1681469240.9684992|                                                                                    ,33865.57194221914
feedback|3 1|1|2|1|1681469240.9689133|                                                                                          ,34891.201143822705
feedback|3 1|1|2|1|1681469240.9689133|                                                                                          ,32720.070209653826
ask|1 2|TRANSFER s -> v 48|2|1|1681469240.9692702|                                                                              ,33246.89819172653
ask|1 2|TRANSFER s -> v 48|2|1|1681469240.9692702|                                                                              ,30813.919072490386
feedback|2 1|1|3|1|1681469240.9696536|                                                                                          ,28570.64083869938
feedback|2 1|1|3|1|1681469240.9696536|                                                                                          ,27890.84690113772
ask|1 3|DEPOSIT d 54|3|1|1681469240.9702487|                                                                                    ,27280.026016260163
ask|1 3|DEPOSIT d 54|3|1|1681469240.9702487|                                                                                    ,26518.691627562363
decided|2 1|1|1|1|1681469240.9719684|                                                                                           ,34875.33532545147
decided|2 1|1|1|1|1681469240.9719684|                                                                                           ,33343.94832619092
feedback|1 1|2|2|1|1681469240.97336|                                                                                            ,44579.499460267376
decided|1 1|2|2|1|1681469240.9740787|                                                                                           ,50034.56775396086
feedback|1 1|2|2|1|1681469240.97336|                                                                                            ,40363.19915795805
decided|1 1|2|2|1|1681469240.9740787|                                                                                           ,38830.53030522205
feedback|1 1|2|3|1|1681469240.9741943|                                                                                          ,33546.045488627846
decided|3 1|2|1|1|1681469240.976743|                                                                                            ,67992.77001013172
feedback|1 1|2|3|1|1681469240.9741943|                                                                                          ,23489.27686384319
feedback|1 2|3|2|1|1681469240.9770536|                                                                                          ,49083.09672700676
decided|3 1|2|1|1|1681469240.976743|                                                                                            ,33583.817840610536
feedback|1 3|4|2|1|1681469240.9782126|                                                                                          ,52768.912128956166
feedback|1 2|3|2|1|1681469240.9770536|                                                                                          ,32294.929740134747
decided|1 2|3|2|1|1681469240.9790847|                                                                                           ,64134.62095329112
feedback|1 3|4|2|1|1681469240.9782126|                                                                                          ,40332.875967245134
decided|1 2|3|2|1|1681469240.9790847|                                                                                           ,47616.04541019956
feedback|1 2|3|3|1|1681469240.9810038|                                                                                          ,58983.84003515711
feedback|1 2|3|3|1|1681469240.9810038|                                                                                          ,35236.99868731951
decided|1 3|4|2|1|1681469240.9810495|                                                                                           ,39513.57267976742
decided|1 3|4|2|1|1681469240.9810495|                                                                                           ,32492.33867941657
feedback|1 3|4|3|1|1681469240.9838378|                                                                                          ,3255.7955087114988
feedback|1 3|4|3|1|1681469240.9838378|                                                                                          ,3263.5736030734815
feedback|2 2|3|1|1|1681469241.7429876|                                                                                          ,238185.85270629992
feedback|2 2|3|1|1|1681469241.7429876|                                                                                          ,318806.9548693587
ask|2 2|DEPOSIT x 12|2|1|1681469241.743495|                                                                                     ,42346.65657043698
feedback|2 2|5|3|1|1681469241.7459142|                                                                                          ,28668.281732258238
ask|2 2|DEPOSIT x 12|2|1|1681469241.743495|                                                                                     ,16558.846215532663
feedback|2 2|5|3|1|1681469241.7459142|                                                                                          ,17145.851814001024
decided|2 2|5|3|1|1681469241.7537682|                                                                                           ,281526.43523859465
decided|2 2|5|3|1|1681469241.7537682|                                                                                           ,64745.64785335263
feedback|2 3|6|1|1|1681469241.9711835|                                                                                          ,236194.85789705237
feedback|2 3|6|1|1|1681469241.9711835|                                                                                          ,338933.6565656566
ask|2 3|TRANSFER p -> b 4|3|1|1681469241.9716432|                                                                               ,58191.08085844353
feedback|2 3|6|3|1|1681469241.9726305|                                                                                          ,25355.195617266458
ask|2 3|TRANSFER p -> b 4|3|1|1681469241.9716432|                                                                               ,17106.516441498854
feedback|2 3|6|3|1|1681469241.9726305|                                                                                          ,15857.950435681583
decided|2 3|6|1|1|1681469241.981476|                                                                                            ,249012.4823747681
decided|2 3|6|1|1|1681469241.981476|                                                                                            ,180521.49024882313
ask|1 4|DEPOSIT j 87|4|1|1681469242.3041112|                                                                                    ,201603.79722117912
ask|1 4|DEPOSIT j 87|4|1|1681469242.3041112|                                                                                    ,272385.0390664637
feedback|1 4|7|3|1|1681469242.3088944|                                                                                          ,96925.60245531684
feedback|1 4|7|3|1|1681469242.3088944|                                                                                          ,321479.5880239521
decided|1 4|7|3|1|1681469242.309998|                                                                                            ,50095.26098721657
decided|1 4|7|3|1|1681469242.309998|                                                                                            ,34353.14256462759
feedback|1 4|5|2|1|1681469242.313947|                                                                                           ,28924.676041161576
feedback|1 4|5|2|1|1681469242.313947|                                                                                           ,30646.81538988469
ask|1 5|TRANSFER j -> p 40|5|1|1681469242.5552468|                                                                              ,615677.6513761468
ask|1 5|TRANSFER j -> p 40|5|1|1681469242.5552468|                                                                              ,874382.5928338763
feedback|1 5|8|3|1|1681469242.5570252|                                                                                          ,397976.9547813195
feedback|1 5|8|3|1|1681469242.5570252|                                                                                          ,1024562.8091603053
decided|1 5|8|2|1|1681469242.5572853|                                                                                           ,103643.0332046332
decided|1 5|8|2|1|1681469242.5572853|                                                                                           ,99145.13610341643
feedback|1 5|8|2|1|1681469242.5585828|                                                                                          ,71563.70461210344
feedback|1 5|8|2|1|1681469242.5585828|                                                                                          ,67092.09097725569
feedback|3 2|7|1|1|1681469242.965964|                                                                                           ,212369.82278481012
feedback|3 2|7|1|1|1681469242.965964|                                                                                           ,279911.84150156414
ask|3 2|DEPOSIT v 59|2|1|1681469242.966335|                                                                                     ,46502.46097877869
ask|3 2|DEPOSIT v 59|2|1|1681469242.966335|                                                                                     ,43070.269715202565
feedback|3 2|9|2|1|1681469242.9693384|                                                                                          ,53601.329073482426
feedback|3 2|9|2|1|1681469242.9693384|                                                                                          ,40169.914852225964
decided|3 2|9|2|1|1681469242.9781642|                                                                                           ,222675.61675653254
decided|3 2|9|2|1|1681469242.9781642|                                                                                           ,398863.97622585436
ask|1 6|TRANSFER v -> j 28|6|1|1681469243.3570237|                                                                              ,211616.44146629877
ask|1 6|TRANSFER v -> j 28|6|1|1681469243.3570237|                                                                              ,245258.52535404294
feedback|1 6|9|3|1|1681469243.362627|                                                                                           ,149922.0642278693
feedback|1 6|9|3|1|1681469243.362627|                                                                                           ,307662.41375358164
decided|1 6|10|2|1|1681469243.3634949|                                                                                          ,34561.0217587228
decided|1 6|10|2|1|1681469243.3634949|                                                                                          ,20268.45786771368
feedback|1 6|10|2|1|1681469243.3693361|                                                                                         ,36306.95286400217
feedback|1 6|10|2|1|1681469243.3693361|                                                                                         ,16168.37560608342
feedback|3 3|10|1|1|1681469244.4902747|                                                                                         ,314511.3719976567
feedback|3 3|10|1|1|1681469244.4902747|                                                                                         ,192564.88952654233
ask|3 3|DEPOSIT z 36|3|1|1681469244.4908495|                                                                                    ,39910.11834671424
feedback|3 3|11|2|1|1681469244.4929228|                                                                                         ,22411.643164266334
ask|3 3|DEPOSIT z 36|3|1|1681469244.4908495|                                                                                    ,15507.984401629163
