data, bandwidth
ask|3 1|DEPOSIT o 27|1|3|1681472255.1803732|                                                                                    ,581658.6262188515
feedback|2 1|1|3|3|1681472255.1810386|                                                                                          ,294175.8421917808
ask|2 1|DEPOSIT y 57|1|3|1681472255.1811302|                                                                                    ,115530.64600817733
feedback|2 2|2|3|3|1681472255.1817033|                                                                                          ,137342.2645177795
ask|3 1|DEPOSIT o 27|1|3|1681472255.1803732|                                                                                    ,16302.903404087334
feedback|2 1|1|3|3|1681472255.1810386|                                                                                          ,3303.719344020184
ask|2 2|TRANSFER y -> d 53|2|3|1681472255.1817884|                                                                              ,3413.3203125496702
feedback|3 1|1|2|3|1681472255.1822116|                                                                                          ,3196.649629647272
ask|2 1|DEPOSIT y 57|1|3|1681472255.1811302|                                                                                    ,3135.598546881753
feedback|1 1|3|3|3|1681472255.1901126|                                                                                          ,3833.3136647293186
feedback|2 2|2|3|3|1681472255.1817033|                                                                                          ,3034.420478502433
ask|1 1|DEPOSIT a 26|1|3|1681472255.1901948|                                                                                    ,3460.847640965145
ask|2 2|TRANSFER y -> d 53|2|3|1681472255.1817884|                                                                              ,2793.2929864724247
feedback|1 2|4|3|3|1681472255.1908872|                                                                                          ,3328.5031278092933
feedback|3 1|1|2|3|1681472255.1822116|                                                                                          ,2701.0470306494135
ask|1 2|DEPOSIT q 21|2|3|1681472255.1909754|                                                                                    ,3141.947844000187
feedback|1 1|3|3|3|1681472255.1901126|                                                                                          ,3072.908471704701
feedback|1 3|5|3|3|1681472255.217839|                                                                                           ,7674.188970525172
ask|1 1|DEPOSIT a 26|1|3|1681472255.1901948|                                                                                    ,2802.098749451972
feedback|2 3|6|3|3|1681472255.2198155|                                                                                          ,7009.582222454335
feedback|1 2|4|3|3|1681472255.1908872|                                                                                          ,2727.281978339057
ask|1 2|DEPOSIT q 21|2|3|1681472255.1909754|                                                                                    ,2588.6645740213025
ask|1 3|DEPOSIT f 60|3|3|1681472255.2200398|                                                                                    ,6410.705132185418
feedback|1 3|5|3|3|1681472255.217839|                                                                                           ,5071.230725634292
ask|2 3|TRANSFER d -> q 10|3|3|1681472255.220607|                                                                               ,5362.006611735331
feedback|2 3|6|3|3|1681472255.2198155|                                                                                          ,4990.666158494074
feedback|1 4|7|3|3|1681472255.2225866|                                                                                          ,5359.704815909273
ask|1 3|DEPOSIT f 60|3|3|1681472255.2200398|                                                                                    ,4619.913534352196
ask|1 4|DEPOSIT e 37|4|3|1681472255.2228444|                                                                                    ,4831.669099581514
ask|2 3|TRANSFER d -> q 10|3|3|1681472255.220607|                                                                               ,4438.233472492043
feedback|1 5|8|3|3|1681472255.2258818|                                                                                          ,5069.123897648948
feedback|1 4|7|3|3|1681472255.2225866|                                                                                          ,4329.569213151507
ask|1 5|TRANSFER f -> j 2|5|3|1681472255.226331|                                                                                ,4793.575885283666
ask|1 4|DEPOSIT e 37|4|3|1681472255.2228444|                                                                                    ,4179.414834651554
feedback|2 4|9|3|3|1681472255.226714|                                                                                           ,4512.202786976181
feedback|1 5|8|3|3|1681472255.2258818|                                                                                          ,4290.505170622552
ask|1 5|TRANSFER f -> j 2|5|3|1681472255.226331|                                                                                ,4089.6972134619195
ask|2 4|DEPOSIT l 64|4|3|1681472255.227266|                                                                                     ,4311.904456705941
feedback|2 4|9|3|3|1681472255.226714|                                                                                           ,3909.9469954627884
feedback|1 6|10|3|3|1681472255.228311|                                                                                          ,4023.7956589519126
ask|2 4|DEPOSIT l 64|4|3|1681472255.227266|                                                                                     ,3669.5071425642145
ask|1 6|TRANSFER e -> r 13|6|3|1681472255.2287738|                                                                              ,3863.2422482711972
feedback|1 6|10|3|3|1681472255.228311|                                                                                          ,3561.1201453976214
feedback|1 1|2|2|3|1681472255.2293377|                                                                                          ,3645.858626192659
decided|3 1|1|1|3|1681472255.2306664|                                                                                           ,3559.302235540587
ask|1 6|TRANSFER e -> r 13|6|3|1681472255.2287738|                                                                              ,3389.4435556677927
feedback|1 1|2|2|3|1681472255.2293377|                                                                                          ,3245.79614884677
feedback|3 1|1|1|3|1681472255.231288|                                                                                           ,3197.4492394554095
decided|3 1|1|1|3|1681472255.2306664|                                                                                           ,3206.1948306339877
feedback|1 2|3|2|3|1681472255.235423|                                                                                           ,3367.165143656354
feedback|3 1|1|1|3|1681472255.231288|                                                                                           ,2924.9459926232234
feedback|2 1|2|1|3|1681472255.237424|                                                                                           ,3377.0776033967604
feedback|1 2|3|2|3|1681472255.235423|                                                                                           ,3103.2462558452744
feedback|1 3|4|2|3|1681472255.2452798|                                                                                          ,3937.966963002083
feedback|2 1|2|1|3|1681472255.237424|                                                                                           ,3089.5133393181873
feedback|2 2|3|1|3|1681472255.2457974|                                                                                          ,3790.9258014404745
feedback|1 4|5|2|3|1681472255.2513995|                                                                                          ,4352.7721096156965
feedback|1 3|4|2|3|1681472255.2452798|                                                                                          ,3591.422076836113
feedback|2 3|4|1|3|1681472255.2537634|                                                                                          ,4300.919768960241
feedback|2 2|3|1|3|1681472255.2457974|                                                                                          ,3294.8589804961275
feedback|2 4|5|1|3|1681472255.2601852|                                                                                          ,5096.55318017847
feedback|1 4|5|2|3|1681472255.2513995|                                                                                          ,3721.602351342733
feedback|1 5|6|2|3|1681472255.2608573|                                                                                          ,4897.742227412056
feedback|1 6|7|2|3|1681472255.2644026|                                                                                          ,5450.6874593892135
feedback|2 3|4|1|3|1681472255.2537634|                                                                                          ,3773.8711654716717
decided|1 1|3|3|3|1681472255.2667115|                                                                                           ,5451.185557484744
feedback|2 4|5|1|3|1681472255.2601852|                                                                                          ,4194.271232255998
decided|1 2|4|3|3|1681472255.2747421|                                                                                           ,7319.2037191040345
feedback|1 5|6|2|3|1681472255.2608573|                                                                                          ,3950.1362057802107
